Performance,Policy,Controversies,Diversity inclusion rating,TR ESG Scores,ESG Analytics
TR.AccidentalSpills,TR.Abortifacients,TR.AnalyticAccountingControv,TR.TRDIRScore,TR.TRESGScoreGrade,TR.SocialPillarScoreGrade
TR.AccidentsTotal,TR.AdvanceNoticeShareholderProposal,TR.AnalyticAntiCompetitionControv,TR.TRDIRDiversityScore,TR.TRESGResourceUseScoreGrade,TR.GovernancePillarScoreGrade
TR.AdvanceNoticePeriod,TR.Agrochemical5PctRevenue,TR.AnalyticBriberyFraudControv,TR.TRDIRPeopleDevelopmentScore,TR.TRESGEmissionsScoreGrade,TR.EnvironmentPillarScoreGrade
TR.Alcohol5PctRevenues,TR.AgrochemicalProducts,TR.AnalyticConsumerComplaints,TR.TRDIRInclusionScore,TR.TRESGInnovationScoreGrade,TR.SocialPillarScore
TR.AlcoholRevenues,TR.Alcohol,TR.AnalyticCustomerControv,TR.TRDIRControvScore,TR.TRESGWorkforceScoreGrade,TR.GovernancePillarScore
TR.AnalyticAntiTakeoverDevices,TR.AnalyticBoardFunctionsPolicy,TR.AnalyticEnvControv,,TR.TRESGHumanRightsScoreGrade,TR.EnvironmentPillarScore
TR.AnalyticAuditCommExpertise,TR.AnalyticBoardStructurePolicy,TR.AnalyticExecCompControv,,TR.TRESGCommunityScoreGrade,
TR.AnalyticAuditCommInd,TR.AnalyticCSRCompIncentives,TR.AnalyticInsiderDealingsControv,,TR.TRESGProductResponsibilityScoreGrade,
TR.AnalyticAuditCommMgtInd,TR.AnalyticEnvExpenditures,TR.AnalyticRespMarketingControv,,TR.TRESGManagementScoreGrade,
TR.AnalyticBoardAffiliations,TR.AnalyticEnvProjectFinancing,TR.AnalyticWorkingConditionControv,,TR.TRESGShareholdersScoreGrade,
TR.AnalyticBoardAttendance,TR.AnalyticEqualShareholderRights,TR.ControvAccounting,,TR.TRESGCSRStrategyScoreGrade,
TR.AnalyticBoardBackground,TR.AnalyticExecCompLTObjectives,TR.ControvAntiCompetition,,TR.TRESGCScoreGrade,
TR.AnalyticBoardCulturalDiversity,TR.AnalyticExecCompPolicy,TR.ControvBusinessEthics,,TR.TRESGCControversiesScoreGrade,
TR.AnalyticBoardFemale,TR.AnalyticExecIndividualComp,TR.ControvChildLabor,,TR.TRESGScore,
TR.AnalyticBoardMemberComp,TR.AnalyticHealthSafetyPolicy,TR.ControvConsumer,,TR.TRESGResourceUseScore,
TR.AnalyticBoardReelection,TR.AnalyticHumanRightsPolicy,TR.ControvCopyrights,,TR.TRESGEmissionsScore,
TR.AnalyticBoardSizeMore10Less8,TR.AnalyticProductImpactMin,TR.ControvCriticalCountries,,TR.TRESGInnovationScore,
TR.AnalyticBoardSpecificSkills,TR.AnalyticQMS,TR.ControvCustomerHS,,TR.TRESGWorkforceScore,
TR.AnalyticCEOChairmanSeparation,TR.AnalyticResourceRedPolicy,TR.ControvDiversityOpportunity,,TR.TRESGHumanRightsScore,
TR.AnalyticCO2,TR.AnalyticResourceRedTargets,TR.ControvEmployeesHS,,TR.TRESGCommunityScore,
TR.AnalyticCompCommInd,TR.AnalyticShareholderRightsPolicy,TR.ControvEnv,,TR.TRESGProductResponsibilityScore,
TR.AnalyticCompCommMgtInd,TR.AnalyticTrainingDevPolicy,TR.ControvFreedomofAssociation,,TR.TRESGManagementScore,
TR.AnalyticDischargeWaterSystem,TR.AnalyticVOCorPMReduction,TR.ControvHumanRights,,TR.TRESGShareholdersScore,
TR.AnalyticDrugDelay,TR.AnimalTesting,TR.ControvInsiderDealings,,TR.TRESGCSRStrategyScore,
TR.AnalyticEmploymentCreation,TR.AnimalTestingCosmetics,TR.ControvMgtComp,,TR.TRESGCScore,
TR.AnalyticEnergyUse,TR.AnimalTestingReduction,TR.ControvPrivacy,,TR.TRESGCControversiesScore,
TR.AnalyticEnvRD,TR.AntiPersonnelLandmines,TR.ControvProductAccess,,,
TR.AnalyticEstimatedCO2Total,TR.Armaments,TR.ControvPublicHealth,,,
TR.AnalyticExecutiveMembersGenderDiversity,TR.AuditComm,TR.ControvRecentMgtComp,,,
